tick,theta,d1_x_cmd,d1_y_cmd,d1_z_cmd,d1_x_act,d1_y_act,d1_z_act,d2_x_cmd,d2_y_cmd,d2_z_cmd,d2_x_act,d2_y_act,d2_z_act,formation_error,d1_track,d1_formation,d1_avoidance,d1_altitude,d2_track,d2_formation,d2_avoidance,d2_altitude
927,4.7517,0.177,0.016,-5.036,-0.617,0.080,-4.971,-4.784,-0.008,-5.031,-5.641,0.094,-4.973,0.028,0.817,0.028,0.000,0.029,0.842,0.028,0.000,0.027
928,4.7667,0.265,0.015,-5.023,-0.550,0.059,-4.983,-4.722,-0.001,-5.013,-5.558,0.069,-4.987,0.013,0.824,0.013,0.000,0.017,0.832,0.013,0.000,0.013
929,4.7817,0.338,0.020,-5.002,-0.472,0.034,-5.001,-4.646,0.004,-4.993,-5.482,0.044,-5.004,0.014,0.819,0.015,0.000,0.001,0.829,0.015,0.000,0.004
930,4.7967,0.421,0.022,-4.985,-0.400,0.014,-5.016,-4.579,0.014,-4.970,-5.399,0.019,-5.022,0.005,0.821,0.008,0.000,0.016,0.821,0.008,0.000,0.022
931,4.8117,0.494,0.028,-4.973,-0.327,-0.003,-5.026,-4.503,0.022,-4.959,-5.329,0.001,-5.031,0.004,0.824,0.007,0.000,0.026,0.826,0.007,0.000,0.031
932,4.8267,0.571,0.033,-4.971,-0.254,-0.013,-5.027,-4.431,0.032,-4.959,-5.253,-0.013,-5.032,0.002,0.826,0.005,0.000,0.027,0.825,0.005,0.000,0.032
933,4.8417,0.653,0.039,-4.977,-0.180,-0.021,-5.020,-4.364,0.044,-4.973,-5.169,-0.024,-5.021,0.011,0.828,0.011,0.000,0.020,0.817,0.011,0.000,0.021
934,4.8567,0.725,0.048,-4.996,-0.099,-0.027,-5.004,-4.286,0.056,-4.992,-5.092,-0.032,-5.006,0.009,0.822,0.009,0.000,0.004,0.816,0.009,0.000,0.006
935,4.8717,0.805,0.057,-5.014,-0.024,-0.032,-4.988,-4.218,0.070,-5.015,-5.010,-0.040,-4.988,0.017,0.823,0.017,0.000,0.012,0.809,0.017,0.000,0.012
936,4.8867,0.874,0.069,-5.029,0.058,-0.035,-4.976,-4.140,0.083,-5.029,-4.933,-0.043,-4.976,0.012,0.817,0.012,0.000,0.024,0.810,0.012,0.000,0.024
937,4.9017,0.953,0.082,-5.031,0.134,-0.032,-4.973,-4.071,0.096,-5.036,-4.851,-0.041,-4.971,0.017,0.817,0.017,0.000,0.027,0.804,0.017,0.000,0.029
938,4.9167,1.026,0.097,-5.023,0.209,-0.024,-4.979,-3.997,0.111,-5.031,-4.777,-0.032,-4.976,0.017,0.816,0.017,0.000,0.021,0.803,0.017,0.000,0.024
939,4.9317,1.099,0.111,-5.004,0.289,-0.006,-4.994,-3.923,0.128,-5.018,-4.697,-0.017,-4.989,0.017,0.809,0.018,0.000,0.006,0.797,0.018,0.000,0.011
940,4.9467,1.161,0.122,-4.977,0.369,0.017,-5.012,-3.839,0.151,-5.006,-4.631,-0.001,-5.002,0.019,0.801,0.021,0.000,0.012,0.804,0.021,0.000,0.002
941,4.9617,1.240,0.139,-4.961,0.436,0.038,-5.027,-3.773,0.171,-4.987,-4.555,0.018,-5.017,0.022,0.806,0.024,0.000,0.027,0.801,0.024,0.000,0.017
942,4.9767,1.308,0.155,-4.950,0.511,0.058,-5.036,-3.696,0.192,-4.976,-4.487,0.034,-5.026,0.024,0.805,0.026,0.000,0.036,0.805,0.026,0.000,0.026
943,4.9917,1.373,0.175,-4.953,0.592,0.073,-5.034,-3.617,0.213,-4.973,-4.414,0.050,-5.027,0.024,0.796,0.025,0.000,0.034,0.806,0.025,0.000,0.027
944,5.0067,1.439,0.198,-4.970,0.668,0.085,-5.022,-3.538,0.232,-4.980,-4.347,0.063,-5.019,0.026,0.794,0.026,0.000,0.022,0.812,0.026,0.000,0.019
945,5.0217,1.495,0.221,-4.999,0.749,0.097,-5.003,-3.451,0.254,-4.991,-4.285,0.076,-5.006,0.040,0.786,0.040,0.000,0.003,0.823,0.040,0.000,0.006
946,5.0367,1.571,0.249,-5.019,0.816,0.108,-4.985,-3.385,0.273,-5.014,-4.211,0.093,-4.987,0.032,0.792,0.032,0.000,0.015,0.822,0.032,0.000,0.013
947,5.0517,1.635,0.276,-5.037,0.895,0.120,-4.971,-3.307,0.295,-5.030,-4.141,0.108,-4.973,0.038,0.788,0.038,0.000,0.029,0.825,0.038,0.000,0.027
948,5.0667,1.712,0.306,-5.040,0.965,0.127,-4.967,-3.242,0.315,-5.039,-4.063,0.121,-4.967,0.029,0.792,0.029,0.000,0.033,0.821,0.029,0.000,0.033
949,5.0817,1.782,0.336,-5.030,1.040,0.131,-4.974,-3.172,0.339,-5.036,-3.989,0.129,-4.972,0.029,0.793,0.029,0.000,0.026,0.821,0.029,0.000,0.028
950,5.0967,1.863,0.366,-5.013,1.106,0.133,-4.988,-3.114,0.364,-5.019,-3.908,0.134,-4.986,0.015,0.802,0.015,0.000,0.012,0.816,0.015,0.000,0.014
951,5.1117,1.934,0.396,-4.992,1.172,0.134,-5.005,-3.046,0.391,-5.000,-3.840,0.137,-5.002,0.013,0.814,0.013,0.000,0.005,0.825,0.013,0.000,0.002
952,5.1267,2.011,0.427,-4.973,1.243,0.137,-5.022,-2.985,0.419,-4.976,-3.759,0.142,-5.021,0.005,0.821,0.005,0.000,0.022,0.822,0.005,0.000,0.021
953,5.1417,2.082,0.458,-4.963,1.313,0.146,-5.031,-2.920,0.449,-4.961,-3.685,0.151,-5.032,0.006,0.828,0.006,0.000,0.031,0.824,0.006,0.000,0.032
954,5.1567,2.167,0.494,-4.963,1.373,0.159,-5.031,-2.868,0.477,-4.960,-3.605,0.169,-5.033,0.024,0.843,0.024,0.000,0.031,0.819,0.024,0.000,0.033
955,5.1717,2.240,0.528,-4.972,1.439,0.176,-5.023,-2.807,0.508,-4.974,-3.532,0.189,-5.022,0.032,0.850,0.032,0.000,0.023,0.818,0.032,0.000,0.022
956,5.1867,2.312,0.563,-4.992,1.510,0.198,-5.005,-2.745,0.541,-4.999,-3.454,0.212,-5.002,0.039,0.851,0.039,0.000,0.005,0.812,0.039,0.000,0.002
957,5.2017,2.377,0.596,-5.013,1.577,0.221,-4.987,-2.677,0.577,-5.020,-3.389,0.233,-4.985,0.035,0.855,0.035,0.000,0.013,0.820,0.035,0.000,0.015
